rdtsc_overhead set to 32
Testing first with random data.
displaying cycles per input bytes for linux, quicktime, chromium, scalar and avx2 decoders, first column is number of bytes
32  3.86  4.09  2.23  3.32  5.45  2.32  3.95 
40  3.82  3.71  2.11  2.79  2.25  1.36  2.11 
48  3.72  3.81  2.22  2.72  2.22  1.41  2.16 
56  3.79  3.63  2.11  2.79  2.39  1.47  2.34 
64  3.75  3.77  2.09  2.52  1.36  0.95  1.32 
72  3.75  3.90  2.10  2.50  1.58  1.08  1.54 
80  3.76  3.65  2.00  2.56  1.83  1.11  1.78 
88  3.80  3.55  1.97  2.42  1.12  0.77  1.07 
96  3.77  3.61  2.05  2.38  1.28  0.84  1.17 
104  3.77  3.51  1.94  2.41  1.46  0.93  1.39 
112  3.75  3.43  1.97  2.34  0.96  0.67  0.87 
120  3.76  3.50  1.99  2.30  1.12  0.71  1.05 
128  3.77  3.43  1.94  2.33  1.26  0.81  1.19 
136  3.76  3.39  1.95  2.38  0.88  0.57  0.78 
144  3.76  3.44  1.94  2.25  1.00  0.67  0.88 
152  3.75  3.40  1.91  2.33  1.12  0.71  1.03 
160  3.75  3.35  1.94  2.22  0.81  0.51  0.68 
168  3.74  3.38  1.91  2.24  0.90  0.59  0.79 
176  3.73  3.36  1.88  2.27  1.03  0.63  0.92 
184  3.73  3.32  1.93  2.27  0.74  0.48  0.62 
192  3.73  3.36  1.91  2.21  0.84  0.55  0.70 
200  3.75  3.33  1.89  2.23  0.96  0.58  0.83 
208  3.75  3.29  1.89  2.15  0.71  0.46  0.59 
216  3.73  3.32  1.90  2.17  0.79  0.49  0.67 
224  3.73  3.31  1.87  2.26  0.90  0.55  0.77 
232  3.72  3.28  1.89  2.17  0.69  0.44  0.54 
240  3.74  3.31  1.90  2.19  0.78  0.47  0.62 
248  3.76  3.28  1.87  2.24  0.84  0.52  0.71 
256  3.74  3.26  1.88  2.13  0.65  0.41  0.51 
264  3.72  3.27  1.89  2.18  0.73  0.44  0.59 
272  3.73  3.25  1.86  2.20  0.81  0.48  0.68 
280  3.80  3.24  1.88  2.15  0.65  0.40  0.49 
288  3.73  3.27  1.88  2.16  0.71  0.43  0.56 
296  3.74  3.25  1.86  2.21  0.78  0.46  0.64 
304  3.75  3.25  1.86  2.15  0.62  0.43  0.50 
312  3.73  3.25  1.86  2.15  0.68  0.42  0.54 
320  3.72  3.24  1.86  2.19  0.85  0.45  0.65 
328  3.73  3.23  1.87  2.18  0.60  0.39  0.46 
336  3.75  3.25  1.86  2.11  0.65  0.40  0.51 
344  3.75  3.23  1.85  2.17  0.73  0.45  0.60 
352  3.76  3.22  1.86  2.14  0.62  0.41  0.43 
360  3.75  3.23  1.87  2.14  0.68  0.40  0.50 
368  3.76  3.23  1.84  2.14  0.74  0.43  0.59 
